0,2.4144343,pau,0
2.4144343,2.805762,br,0
2.805762,2.8223789,b,77
2.8223789,2.923742,u,77
2.923742,3.0957268,cl,77
3.0957268,3.1248063,t,80
3.1248063,3.2037366,o,80
3.2037366,3.2627265,b,80
3.2627265,3.33501,a,80
3.33501,3.4305571,s,82
3.4305571,3.5153033,e,82
3.5153033,3.5859251,j,84
3.5859251,3.8202232,o,84
3.8202232,3.9166012,sh,85
3.9166012,4.0611682,i,85
4.0611682,4.0919094,k,84
4.0919094,4.2040734,i,84
4.2040734,4.2564166,w,80
4.2564166,4.4757596,o,80
4.4757596,4.5480431,m,80
4.5480431,4.666023,i,80
4.666023,4.7200279,ch,79
4.7200279,4.8031123,i,79
4.8031123,4.8612715,n,77
4.8612715,5.0340871,o,77
5.0340871,5.1512362,s,77
5.1512362,5.2866639,e,77
5.2866639,5.3107584,k,79
5.3107584,5.4279074,a,79
5.4279074,5.6347877,i,80
5.6347877,5.8542964,e,82
5.8542964,5.9204986,y,79
5.9204986,6.0884289,u,79
6.0884289,6.114185,k,80
6.114185,6.9732783,o,80
6.9732783,16.9226418,pau,0
16.9226418,17.2915367,br,0
17.2915367,17.3355715,m,75
17.3355715,17.5794529,e,75
17.5794529,17.635419,w,75
17.635419,17.9238094,o,75
17.9238094,18.0899784,a,73
18.0899784,18.1149037,k,72
18.1149037,18.3915749,e,72
18.3915749,18.4131769,t,73
18.4131769,18.653291,a,73
18.653291,18.7122809,r,75
18.7122809,19.1027779,a,75
19.1027779,19.2215886,h,75
19.2215886,19.4276381,i,75
19.4276381,19.519031,r,80
19.519031,19.8040107,o,80
19.8040107,19.8430604,g,79
19.8430604,20.1097615,a,79
20.1097615,20.149642,r,75
20.149642,20.4171739,u,75
20.4171739,20.4769947,b,73
20.4769947,20.5941438,u,73
20.5941438,20.6132533,r,73
20.6132533,20.8450589,a,73
20.8450589,20.9040488,N,72
20.9040488,20.9273125,ny,73
20.9273125,21.063571,u,73
21.063571,21.11176,w,75
21.11176,21.9002315,a,75
21.9002315,21.9268185,r,75
21.9268185,21.9841468,u,75
21.9841468,22.4643749,br,0
22.4643749,22.5042554,b,75
22.5042554,22.9446031,o,75
22.9446031,22.9794985,k,79
22.9794985,23.1473291,e,79
23.1473291,23.2636474,N,79
23.2636474,23.3010354,m,80
23.3010354,23.5785374,o,80
23.5785374,23.7363979,br,0
